venueId,venueName,typeGuess,layoutStatus,capacityStatus,hasOfficialSite,siteUrl,address,sourceLiveUuids,sourceSetlistIds,neededFields
venue_zepp_fukuoka,Zepp Fukuoka,live_house,needs_verification,verified,yes,https://www.zepp.co.jp/hall/fukuoka/,〒810-8639 福岡県福岡市中央区地行浜2-2-1,019e8284-79b9-797b-b7ab-5f3f80d0db18|019e8284-7c76-7696-a0b5-ce0f4f776156|019e8284-8137-72c8-a205-53a93aee8b1c,live_item_019e8284-bc20-7763-bc08-90bcab6c5a75|live_item_019e8284-c3e3-79b5-bbe7-36fc1e5ff9d4|live_item_019e8284-c9ec-7172-be5b-80373aea39b6,layoutStatus|dimensions|floors|stage
venue_zepp_haneda,Zepp Haneda (TOKYO),live_house,partially_verified,verified,yes,https://www.zepp.co.jp/hall/haneda/,〒144-0041 東京都大田区羽田空港1-1-4 HANEDA INNOVATION CITY ZONE H,019e8284-79b9-797b-b7ab-5f3f80d0db18,live_item_019e8284-bcdb-782a-9b24-39c6b22953bb|live_item_019e8284-bd47-779e-b8cb-8fa5e03aaf66,layoutStatus|dimensions|stage
venue_zepp_nagoya,Zepp Nagoya,live_house,partially_verified,verified,yes,https://www.zepp.co.jp/hall/nagoya/,〒453-0872 愛知県名古屋市中村区平池町4-60-7,019e8284-79b9-797b-b7ab-5f3f80d0db18|019e8284-7c76-7696-a0b5-ce0f4f776156|019e8284-8137-72c8-a205-53a93aee8b1c|019e8284-88b1-79fe-846b-112b2ad73457,live_item_019e8284-b773-7e30-bbfe-256d8dd37b44|live_item_019e8284-bfd4-72b5-adf2-d41e0cf0b883|live_item_019e8284-cc53-7145-bf84-d34af9f28af0|live_item_019e8284-df39-730e-afd3-a575664f8694,layoutStatus|dimensions|stage
venue_zeep_namba,Zepp Namba (OSAKA),live_house,partially_verified,verified,yes,https://www.zepp.co.jp/hall/namba/,〒556-0012 大阪府大阪市浪速区敷津東2-1-39,019e8284-8eb6-7fbd-99fd-83a8b1f63378,live_item_019e8284-e375-7cc4-9665-1dc3d0966c27,layoutStatus|dimensions|stage
venue_zepp_namba,Zepp Namba (OSAKA),live_house,partially_verified,verified,yes,https://www.zepp.co.jp/hall/namba/,〒556-0012 大阪府大阪市浪速区敷津東2-1-39,019e8284-7136-7d18-868c-c3b750f137e1,live_item_019e8284-a20c-7fa9-8858-b25b14d2993a,layoutStatus|dimensions|stage
venue_zepp_new_taipei,Zepp New Taipei,live_house,needs_verification,verified,yes,https://www.zepp.co.jp/hall/newtaipei/,新北市新莊區新北大道四段3號8樓【宏匯廣場】,019e8284-825f-70e6-a02e-a13ba8fa9c23|019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-d7df-7be2-a435-262dac645f01|live_item_019e8284-f2b9-7086-94cd-4756bc3a8a38,layoutStatus|dimensions|floors|stage
venue_zepp_osaka_bayside,Zepp Osaka Bayside,live_house,partially_verified,verified,yes,https://www.zepp.co.jp/hall/osakabayside/,〒554-0031 大阪府大阪市此花区桜島1-1-61,019e8284-79b9-797b-b7ab-5f3f80d0db18|019e8284-7c76-7696-a0b5-ce0f4f776156|019e8284-88b1-79fe-846b-112b2ad73457,live_item_019e8284-b901-7484-8cf4-5a234f4fc725|live_item_019e8284-c4a8-7d1a-95c9-fea5b06ac38e|live_item_019e8284-decf-7fec-8307-c5845b9552e4,layoutStatus|dimensions|stage
venue_zepp_tokyo,Zepp Tokyo,live_house,needs_verification,needs_verification,yes,https://www.zepp.co.jp/hall/tokyo/,〒135-0064 東京都江東区青海１丁目３−１１,019e8284-7017-73c9-b0e6-5b6e10dc165d|019e8284-7266-7fd4-94bb-b58bf6cef96b,live_item_019e8284-9e35-7021-9816-80e8102d0a47|live_item_019e8284-a79f-7f1d-aa5b-1217419bf9be,layoutStatus|capacity|dimensions|floors|stage
venue_オリックス劇場,オリックス劇場,hall,partially_verified,verified,yes,https://www.orixtheater.jp/,〒550-0013 大阪府大阪市西区新町1丁目14番15号,019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-f128-7e46-8a9f-134032da24f1,layoutStatus
venue_ト_クネットホ_ル仙台,トークネットホール仙台,hall,needs_verification,needs_verification,yes,https://sendai.pia-pit.jp/access/index.html,宮城県仙台市青葉区中央2-7-11,019e8284-9148-7f4e-b33a-0a731e8b057e,live_item_019e8284-f0d0-7c4c-b463-efb128b466db,layoutStatus|capacity|dimensions|floors|stage
