venueId,name,typeGuess,capacity,capacityKind,seatedCapacity,capacityStatus,verifiedAt,verificationSourceUrls,siteUrl,address,sourceLiveIds
venue_高松_dime,高松 DIME,live_house,,,,needs_web_verification,,,https://www.dime-dime.com/,〒760-0051 香川県高松市南新町１−４ ５階,46
venue_高松_festhalle,高松 festhalle,outdoor_festival,,,,needs_web_verification,,,http://festhalle.jp/,〒760-0054 香川県高松市常磐町１丁目３−２,36
venue_国営ひたち海浜公園,国営ひたち海浜公園,outdoor_festival,,,,needs_web_verification,,,https://hitachikaihin.jp/,〒312-0012 茨城県ひたちなか市馬渡 字大沼605-4,16|40
venue_国立代々木競技場第一体育館,国立代々木競技場 第一体育館,arena,12934,max,12898,verified,2026-05-17,https://www.jpnsport.go.jp/yoyogi/Default.aspx?TabId=70,https://www.jpnsport.go.jp/yoyogi/,〒150-0041 東京都渋谷区神南2-1-1,3
venue_桜坂セントラル,桜坂セントラル,live_house,,,,needs_web_verification,,,http://www.nahacentral.com/about.html,沖縄県那覇市牧志3-9-26,72
venue_札幌penny_lane_24,札幌PENNY LANE 24,live_house,,,,needs_web_verification,,,https://www.pl24.jp/info.html,北海道札幌市中央区南4条西5丁目,72
venue_札幌ペニ_レ_ン24,札幌ペニーレーン24,live_house,,,,needs_web_verification,,,http://www.pl24.jp/,〒063-0804 北海道札幌市西区二十四軒４条５丁目５−２１ ＰＥＮＮＹ ＬＡＮＥ ２４,14|22|46
venue_札幌芸術の森野外ステ_ジ,札幌芸術の森野外ステージ,outdoor_festival,,,,needs_web_verification,,,,〒005-0864 北海道札幌市南区芸術の森２丁目９１０−１,7
venue_周南rising_hall,周南RISING HALL,hall,,,,needs_web_verification,,,https://risinghallshunan.wixsite.com/rising-hall/access,山口県周南市銀南街49番地4F,72
venue_渋谷ストリ_ムホ_ル,渋谷ストリームホール,hall,,,,needs_web_verification,,,http://stream-hall.jp/,〒150-0002 東京都渋谷区渋谷３丁目２１−３,15
venue_昭和女子大学人見記念講堂,昭和女子大学人見記念講堂,hall,,,,needs_web_verification,,,https://hall.swu.ac.jp/,〒154-8533 東京都世田谷区太子堂１丁目７−５７,46
venue_松下impホ_ル,松下IMPホール,hall,,,,needs_web_verification,,,https://www.kanden-kaijyou.jp/event_hole/imp/,〒540-6301 大阪府大阪市中央区城見１丁目３−７,18
venue_松阪maxa,松阪M'AXA,live_house,,,,needs_web_verification,,,https://www.maxa.jp/access/,三重県松阪市市場庄町1148-2,72
venue_松山_wstudio_red,松山 Wstudio RED,live_house,,,,needs_web_verification,,,http://red.double-ustudio.com/,〒790-0012 愛媛県松山市湊町４丁目１０−８,46
venue_新潟_lots,新潟 LOTS,live_house,,,,needs_web_verification,,,http://www.fmniigata.com/user/lots/,〒950-0908 新潟県新潟市中央区幸西４丁目３−５ 新潟ＬＯＴＳ,46
venue_新潟lots,新潟LOTS,live_house,,,,needs_web_verification,,,https://www.fmniigata.com/lots/access,新潟県新潟市中央区古町通6-953-1,72
venue_新潟テルサ,新潟テルサ,hall,,,,needs_web_verification,,,https://www.n-terrsa.jp/,〒950-1141 新潟県新潟市中央区鐘木１８５−１８,44
venue_新宿reny,新宿ReNY,live_house,,,,needs_web_verification,,,http://ruido.org/reny/index.html,〒160-0023 東京都新宿区西新宿６丁目５−１ アイランドホール ２F,2
